"('prospective', 'investigation', 'cancer', 'nutrition')",43
"('medicine', 'without', 'medical', 'society')",27
"('cox', 'proportional', 'hazards', 'models')",26
"('food', 'nutrition', 'physical', 'activity')",25
"('status', 'never', 'former', 'current')",25
"('beta', 'carotene', 'vitamin', 'selenium')",24
"('cancer', 'cancer', 'epidemiol', 'biomarkers')",24
"('prevention', 'cancer', 'global', 'perspective')",24
"('quartile', 'quartile', 'quartile', 'quartile')",23
"('smoking', 'status', 'never', 'former')",22
"('red', 'meat', 'processed', 'meat')",21
"('women', 'healthy', 'eating', 'living')",21
"('intake', 'prostate', 'cancer', 'risk')",19
"('society', 'nutrition', 'manuscript', 'received')",19
"('white', 'meat', 'mutagen', 'index')",19
"('family', 'history', 'breast', 'cancer')",18
"('red', 'meat', 'red', 'meat')",18
"('vitamin', 'selenium', 'selenium', 'vitamin')",18
"('mortality', 'deaths', 'basic', 'adjusted')",17
"('nutrition', 'physical', 'activity', 'prevention')",17
"('risk', 'postmenopausal', 'breast', 'cancer')",17
"('selenium', 'vitamin', 'cancer', 'prevention')",17
"('total', 'cancer', 'incidence', 'mortality')",17
"('epic', 'prospective', 'investigation', 'cancer')",16
"('investigation', 'cancer', 'nutrition', 'epic')",16
"('red', 'meat', 'mutagen', 'index')",16
"('activity', 'prevention', 'cancer', 'global')",15
"('cancer', 'global', 'perspective', 'washington')",15
"('fried', 'broiled', 'baked', 'barbecued')",15
"('intake', 'breast', 'cancer', 'risk')",15
"('overall', 'breast', 'cancer', 'risk')",15
"('physical', 'activity', 'prevention', 'cancer')",15
"('postmenopausal', 'breast', 'cancer', 'risk')",15
"('prostate', 'cancer', 'cell', 'lines')",15
"('vascular', 'endothelial', 'growth', 'factor')",15
"('without', 'medical', 'society', 'medicine')",15
"('\xc3\xa3', 'society', 'nutrition', 'manuscript')",15
"('april', 'medicine', 'without', 'medical')",14
"('breast', 'cancer', 'postmenopausal', 'women')",14
"('colon', 'cancer', 'rectal', 'cancer')",14
"('diet', 'breast', 'cancer', 'prognosis')",14
"('engl', 'med', 'april', 'medicine')",14
"('global', 'perspective', 'washington', 'dc')",14
"('kerr', 'whit\xef\xac\x81eld', 'cellular', 'endocrinology')",14
"('med', 'april', 'medicine', 'without')",14
"('placebo', 'vitamin', 'selenium', 'selenium')",14
"('stampfer', 'mj', 'colditz', 'ga')",14
"('vegetable', 'intake', 'total', 'cancer')",14
"('\xef\xac\x81ber', 'intake', 'prostate', 'cancer')",14
"('article', 'link', 'online', 'table')",13
