"('folic', 'acid')",104
"('acid', 'group')",28
"('first', 'interval')",20
"('placebo', 'group')",19
"('colorectal', 'adenomas')",17
"('plasma', 'folate')",15
"('second', 'interval')",14
"('acid', 'placebo')",13
"('mean', 'sd')",12
"('prevention', 'colorectal')",10
"('acid', 'prevention')",9
"('cole', 'baron')",9
"('participants', 'folic')",9
"('group', 'participants')",8
"('participants', 'placebo')",8
"('placebo', 'folic')",8
"('prostate', 'cancer')",8
"('among', 'participants')",7
"('colorectal', 'cancer')",7
"('dietary', 'folate')",7
"('health', 'sciences')",7
"('large', 'intestine')",7
"('received', 'aspirin')",7
"('acid', 'supplementation')",6
"('advanced', 'lesion')",6
"('advanced', 'lesions')",6
"('aspirin', 'placebo')",6
"('aspirin', 'received')",6
"('group', 'folic')",6
"('medical', 'center')",6
"('risk', 'colorectal')",6
"('ahnen', 'bresalier')",5
"('baron', 'sandler')",5
"('cancer', 'epidemiol')",5
"('chapel', 'hill')",5
"('clinical', 'trial')",5
"('colorectal', 'adenoma')",5
"('days', 'per')",5
"('dna', 'methylation')",5
"('epidemiol', 'biomarkers')",5
"('folate', 'intake')",5
"('folate', 'status')",5
"('iowa', 'city')",5
"('jama', 'folic')",5
"('medical', 'reprinted')",5
"('methylmalonic', 'acid')",5
"('occurred', 'participants')",5
"('per', 'week')",5
"('plasma', 'homocysteine')",5
"('reprinted', 'jama')",5
