"('colorectal', 'cancer', 'risk')",33
"('meat', 'processed', 'meat')",21
"('red', 'meat', 'consumption')",20
"('red', 'meat', 'processed')",20
"('meat', 'red', 'meat')",18
"('age', 'recruitment', 'ffq')",15
"('colon', 'rectum', 'controls')",13
"('risk', 'colorectal', 'cancer')",11
"('total', 'meat', 'red')",10
"('cancer', 'risk', 'meat')",8
"('colon', 'cancer', 'risk')",8
"('consumption', 'red', 'meat')",8
"('recruitment', 'ffq', 'colon')",8
"('red', 'meat', 'intake')",8
"('risk', 'meat', 'consumption')",8
"('age', 'gender', 'total')",7
"('colorectum', 'colon', 'rectum')",7
"('controls', 'age', 'recruitment')",7
"('design', 'type', 'meat')",7
"('gender', 'total', 'energy')",7
"('location', 'design', 'type')",7
"('meat', 'partition', 'adjustment')",7
"('rectum', 'controls', 'recruitment')",7
"('risk', 'colon', 'cancer')",7
"('type', 'meat', 'partition')",7
"('average', 'relative', 'risk')",6
"('cancer', 'causes', 'control')",6
"('colon', 'colon', 'colon')",6
"('colon', 'males', 'females')",6
"('females', 'males', 'females')",6
"('ii', 'total', 'meat')",6
"('intake', 'colorectal', 'cancer')",6
"('males', 'females', 'males')",6
"('meat', 'males', 'females')",6
"('rectum', 'males', 'females')",6
"('age', 'recruitment', 'years')",5
"('appendix', 'ii', 'total')",5
"('cancer', 'epidemiol', 'biomarkers')",5
"('colorectal', 'cancer', 'studies')",5
"('consumption', 'colorectal', 'cancer')",5
"('ffq', 'colon', 'rectum')",5
"('ffq', 'red', 'meat')",5
"('fresh', 'red', 'meat')",5
"('males', 'females', 'age')",5
"('meat', 'consumption', 'colorectal')",5
"('meat', 'intake', 'colorectal')",5
"('plus', 'processed', 'meat')",5
"('processed', 'meat', 'intake')",5
"('rectum', 'controls', 'age')",5
"('rectum', 'rectum', 'rectum')",5
"('attributable', 'current', 'red')",4
"('cancer', 'colon', 'rectum')",4
"('cancer', 'risk', 'attributable')",4
"('cancer', 'studies', 'continued')",4
"('continued', 'location', 'design')",4
"('control', 'cohort', 'studies')",4
"('current', 'red', 'meat')",4
"('females', 'red', 'meat')",4
"('fresh', 'meat', 'fresh')",4
"('fresh', 'plus', 'processed')",4
"('italy', 'int', 'cancer')",4
"('males', 'females', 'genders')",4
"('meat', 'colorectal', 'cancer')",4
"('processed', 'meat', 'red')",4
"('recruitment', 'age', 'ffq')",4
"('red', 'meat', 'males')",4
"('rejected', 'cohort', 'studies')",4
"('signi\xef\xac\x81cant', 'risk', 'increase')",4
"('studies', 'continued', 'location')",4
"('age', 'gender', 'education')",3
"('associated', 'increased', 'risk')",3
"('average', 'red', 'meat')",3
"('beef', 'pork', 'lamb')",3
"('cancer', 'meat', 'consumption')",3
"('category', 'control', 'cohort')",3
"('cohort', 'age', 'recruitment')",3
"('cohort', 'studies', 'reported')",3
"('colon', 'cancer', 'cancer')",3
"('colon', 'cases', 'cohort')",3
"('colon', 'left', 'colon')",3
"('colon', 'rectum', 'males')",3
"('colorectal', 'cancer', 'incidence')",3
"('controls', 'recruitment', 'age')",3
"('controls', 'recruitment', 'ffq')",3
"('different', 'geographical', 'areas')",3
"('factors', 'colorectal', 'cancer')",3
"('females', 'age', 'recruitment')",3
"('females', 'colorectum', 'colon')",3
"('females', 'rectum', 'males')",3
"('figure', 'relative', 'risks')",3
"('food', 'frequency', 'questionnaire')",3
"('found', 'signi\xef\xac\x81cant', 'risk')",3
"('genders', 'males', 'females')",3
"('grams', 'per', 'day')",3
"('high', 'income', 'asia')",3
"('highest', 'lowest', 'category')",3
"('homogeneity', 'rejected', 'cohort')",3
"('included', 'processed', 'meat')",3
"('increased', 'risk', 'colorectal')",3
"('intake', 'red', 'meat')",3
"('left', 'colon', 'rectum')",3
"('levels', 'red', 'meat')",3
"('low', 'income', 'asia')",3
"('lowest', 'category', 'control')",3
"('males', 'females', 'colorectum')",3
"('males', 'females', 'rectum')",3
"('males', 'females', 'red')",3
"('meat', 'consumption', 'appendix')",3
"('meat', 'consumption', 'could')",3
"('meat', 'de\xef\xac\x81ned', 'fresh')",3
"('middle', 'east', 'asia')",3
"('physical', 'activity', 'others')",3
"('polycyclic', 'aromatic', 'hydrocarbons')",3
"('prevalence', 'red', 'meat')",3
"('processed', 'meat', 'processed')",3
"('processed', 'red', 'meat')",3
"('proportion', 'colorectal', 'cancer')",3
"('prospective', 'investigation', 'cancer')",3
"('recruitment', 'ffq', 'red')",3
"('recruitment', 'years', 'ffq')",3
"('rectum', 'age', 'gender')",3
